asset,path,author,license,source,notes
PWA icon,public/icon.svg,Ogu Modular Survivors contributors,MIT,this repository,Original vector icon
School UI controls,public/assets/school/ui/*.png,Kenney,CC0-1.0,https://kenney.nl/assets/ui-pack-pixel-adventure,Recolored to warm cream school palette from UI Pack - Pixel Adventure
Student sprite sheets,public/assets/school/players/player-*.png,JIK-A-4,CC0-1.0,https://jik-a-4.itch.io/metrocity-free-topdown-character-pack,MetroCity composites recolored per character (hair/outfit palette swaps)
School facade,public/assets/school/world/*building.png,JIK-A-4,CC0-1.0,https://jik-a-4.itch.io/metro,Renamed selections from MetroCity external environment pack 2.1
Enemy/elite/boss spritesheets,public/assets/school/enemies/*.png,Pixel-boy (Sparklin Labs),CC0-1.0,https://github.com/sparklinlabs/superpowers-asset-packs,Ninja Adventure monsters 16px 4x4 sheets; some hue-shifted variants
Ground and nature tiles,public/assets/school/world/ground-*.png + tree/rock/bush/flower/tuft/hedge/palm,Pixel-boy (Sparklin Labs),CC0-1.0,https://github.com/sparklinlabs/superpowers-asset-packs,Extracted from Ninja Adventure tileset; ground bases composed from 16px tiles
Schoolyard props,public/assets/school/world/bench|stool|locker|notice-board.png,Kenney,CC0-1.0,https://kenney.nl/assets/tiny-dungeon,Renamed 16 px props
School-supply weapon sprites,public/assets/school/supplies/*.png,Ogu Modular Survivors contributors,MIT,this repository,Original 32px pixel art (pencil eraser book chalk etc.)
XP praise-star pickup,public/assets/kenney/sprites/xp-gem.png,Ogu Modular Survivors contributors,MIT,this repository,Original 16px star sticker sprite
Chest sprites,public/assets/kenney/sprites/chest*.png,Kenney,CC0-1.0,https://kenney.nl/assets/tiny-dungeon,Tiles 0089 and 0092
Combat effects,public/assets/kenney/effects/*.png,Kenney,CC0-1.0,https://kenney.nl/assets/particle-pack,Renamed selections from Particle Pack 1.1
Runtime arena indicators,generated by GameScene,Ogu Modular Survivors contributors,MIT,this repository,Procedural Phaser graphics
Runtime sound,generated by ProceduralSfx,Ogu Modular Survivors contributors,MIT,this repository,Web Audio oscillators
Body UI font,generated build assets from @fontsource-variable/noto-sans-kr,Google Inc.,OFL-1.1,https://fontsource.org/fonts/noto-sans-kr,Self-hosted variable Korean UI font
Display UI font,generated build assets from @fontsource/jua,Woowahan Brothers,OFL-1.1,https://fontsource.org/fonts/jua,Self-hosted rounded Korean display font
